Objects,Create(ms),Edit(ms),Delete(ms),Create CPU(%),Edit CPU(%),Delete CPU(%),Create Memory(MB),Edit Memory(MB),Delete Memory(MB)
1,22.07,13.54,26.90,0.01,9.95,12.65,80,80,81
5,3.85,17.32,8.17,6.82,8.25,8.28,72,66,66
10,3.84,7.81,4.91,9.43,8.03,9.88,67,67,68
50,2.90,7.62,6.80,10.25,9.77,7.78,75,75,75
75,1.89,5.35,6.67,11.30,8.02,4.67,80,80,80
100,1.68,8.73,3.55,8.94,6.69,8.46,86,85,85
200,1.35,4.21,8.09,8.89,8.02,5.85,108,108,108
300,1.17,5.68,7.09,9.55,8.70,4.33,119,119,119
400,1.26,5.04,4.85,8.32,3.45,10.96,125,125,125
500,0.99,3.32,4.89,7.55,7.92,4.89,131,131,131
1000,0.85,3.65,10.12,9.34,5.33,3.86,151,151,151
2000,0.65,5.12,11.16,7.89,6.97,2.96,170,170,170
3000,0.44,3.01,3.94,7.96,7.52,6.47,185,185,184
4000,0.48,15.41,9.62,6.04,6.21,2.10,180,180,180
5000,0.40,2.89,14.43,9.50,7.88,3.54,176,176,176
6000,0.39,6.01,7.88,5.22,3.15,2.60,196,196,196
7000,0.37,2.10,8.30,5.11,3.10,6.28,208,208,208
8000,0.36,7.95,15.79,6.72,2.07,2.63,234,234,235
9000,0.32,2.47,8.13,4.57,3.73,1.89,264,264,264
10000,0.29,4.14,9.49,4.25,1.56,1.40,264,264,263
