Objects,Create(ms),Edit(ms),Delete(ms),Create CPU(%),Edit CPU(%),Delete CPU(%),Create Memory(MB),Edit Memory(MB),Delete Memory(MB)
1,27.40,9.37,10.27,0.01,10.48,8.17,67,68,68
5,4.31,6.09,5.17,9.19,8.50,9.40,69,69,68
10,5.33,18.41,15.19,9.93,9.04,9.28,69,68,68
50,2.45,16.93,13.98,9.77,9.17,8.30,75,75,76
75,2.01,5.90,13.08,9.29,9.62,4.24,81,81,81
100,1.82,7.89,11.06,11.76,9.53,8.75,87,87,88
200,1.45,4.91,10.84,9.63,7.18,6.73,113,113,113
300,1.39,7.90,10.51,9.22,7.58,8.75,123,123,123
400,1.64,7.08,9.18,8.13,3.57,9.09,131,131,131
500,0.95,7.27,8.77,8.11,7.70,5.80,132,132,132
1000,0.76,5.38,10.93,8.50,5.72,4.09,150,150,150
2000,0.73,7.11,7.77,7.56,6.41,3.22,173,173,173
3000,0.45,6.72,12.63,7.37,7.81,5.18,192,192,192
4000,0.43,3.34,8.69,11.09,3.99,3.14,195,195,195
5000,0.38,7.83,8.82,5.50,6.62,5.08,205,205,205
6000,0.39,3.49,4.82,5.63,7.69,2.42,219,219,219
7000,0.50,3.36,8.75,4.66,2.44,5.20,213,213,213
8000,0.92,2.95,13.06,4.70,2.81,2.21,306,306,306
9000,0.40,8.73,7.33,4.35,2.50,1.60,237,224,223
10000,0.45,4.22,21.22,4.77,1.58,2.91,286,287,287
