Objects,Create(ms),Edit(ms),Delete(ms),Create CPU(%),Edit CPU(%),Delete CPU(%),Create Memory(MB),Edit Memory(MB),Delete Memory(MB)
1,33.90,37.75,29.59,0.39,10.90,5.88,68,63,62
5,9.82,12.40,10.65,8.78,5.97,7.93,63,64,65
10,8.49,12.00,6.20,8.24,8.60,9.62,63,64,74
50,4.96,5.32,4.19,9.78,8.41,9.01,76,90,93
75,3.86,4.00,2.90,7.86,7.18,6.05,101,129,129
100,3.09,3.18,2.58,12.37,6.49,6.89,131,135,143
200,2.75,2.70,1.99,8.04,7.74,8.69,147,161,162
300,2.04,2.09,1.37,7.01,10.99,6.32,178,190,187
400,1.42,1.62,1.31,4.99,5.09,6.34,182,188,191
500,1.27,1.37,1.06,11.99,4.62,7.45,198,202,215
1000,1.10,1.15,0.91,6.89,3.60,2.75,212,220,222
